Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,228.6,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,220.2,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,205.7,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,204.4,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,198.8,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,169,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,172.5,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,177.9,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,207.6,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,211,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,215.4,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Total,Total,Total,221.2,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,3.8,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,4,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,4.6,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,4.8,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,5.2,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,5.8,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,7.1,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,7.5,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,5.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,2,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,1.9,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,1.8,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,2.7,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,3.5,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,4.1,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,4.2,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Gradual onset,Industrial deafness,Total,Total,3.8,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,8.7,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,8.2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,7.7,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,6.2,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,5.3,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,4.7,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,3.9,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,2.9,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,2.4,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,2.1,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.5,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.7,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.8,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.7,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.6,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.4,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Gradual onset,Pain syndromes,Total,Total,1.3,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,6,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,5.7,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,5.1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,4.9,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,4.6,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,4.1,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,3.4,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,2.7,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,2.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,2,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.3,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.5,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.7,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.5,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.4,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Gradual onset,Local inflammation,Total,Total,1.3,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,1.1,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,1.2,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,1.1,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,1.1,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,1,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.9,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.8,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.6,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.4,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.3,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.2,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.1,Number of claims in thousands,Final
2014,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.2,Number of claims in thousands,Final
2015,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.4,Number of claims in thousands,Final
2016,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.4,Number of claims in thousands,Final
2017,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.3,Number of claims in thousands,Final
2018,Total,Total,Total,Total,Total,Gradual onset,Compression syndrome,Total,Total,0.3,Number of claims in thousands,Provisional
2002,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.6,Number of claims in thousands,Final
2003,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.7,Number of claims in thousands,Final
2004,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.7,Number of claims in thousands,Final
2005,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.7,Number of claims in thousands,Final
2006,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.6,Number of claims in thousands,Final
2007,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.5,Number of claims in thousands,Final
2008,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.6,Number of claims in thousands,Final
2009,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.4,Number of claims in thousands,Final
2010,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.3,Number of claims in thousands,Final
2011,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.3,Number of claims in thousands,Final
2012,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.1,Number of claims in thousands,Final
2013,Total,Total,Total,Total,Total,Gradual onset,Occupational disease,Total,Total,0.2,Number of claims in thousands,Final
